Name,Rating,Number of ratings,Description,Course Link,Certification
Application Development with Cloud Run,4.5,24,"This course introduces you to fundamentals, practices, capabilities and tools applicable to modern cloud-native application development using Google Cloud Run. Through a combination of lectures, hands-on labs, and supplemental materials, you will learn how to on Google Cloud using Cloud Run.design, implement, deploy, secure, manage, and scale applications",/learn/application-development-with-cloud-run?specialization=google-cloud-developer,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate
Crash Course on Python,4.8,"29,188","This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. ",/learn/python-crash-course?specialization=google-it-automation,Google IT Automation with Python Professional Certificate
Using Python to Interact with the Operating System,4.7,"5,249","By the end of this course, you’ll be able to manipulate files and processes on your computer’s operating system. You’ll also have learned about regular expressions -- a very powerful tool for processing text files -- and you’ll get practice using the Linux command line on a virtual machine. And, this might feel like a stretch right now, but you’ll also write a program that processes a bunch of errors in an actual log file and then generates a summary file. That’s a super useful skill for IT Specialists to know.",/learn/python-operating-system?specialization=google-it-automation,Google IT Automation with Python Professional Certificate
Introduction to Git and GitHub,4.8,"6,450","In this course, you’ll learn how to keep track of the different versions of your code and configuration files using a popular version control system (VCS) called Git. We'll also go through how to setup an account with a service called GitHub so that you can create your very own remote repositories to store your code and configuration. ",/learn/introduction-git-github?specialization=google-it-automation,Google IT Automation with Python Professional Certificate
Troubleshooting and Debugging Techniques,4.6,"2,524","In this course, we'll give you the tools to quickly identify and solve real-world problems that you might come across in your IT role. We'll look at a bunch of different strategies and approaches for tackling the most common pitfalls of your code and IT infrastructure. You'll learn strategies for approaching almost any technical problem and then see how those apply to solving different real-world scenarios. ",/learn/troubleshooting-debugging-techniques?specialization=google-it-automation,Google IT Automation with Python Professional Certificate
Configuration Management and the Cloud,4.8,"2,213","In this course, you’ll learn how to apply automation to manage fleets of computers. You’ll understand how to automate the process for deploying new computers, keeping those machines updated, managing large-scale changes, and a lot more. We'll discuss managing both physical machines running in our offices and virtual machines running in the Cloud.",/learn/configuration-management-cloud?specialization=google-it-automation,Google IT Automation with Python Professional Certificate
Automating Real-World Tasks with Python,4.8,"2,048","In the final course, we'll tie together the concepts that you’ve learned up until now. You'll tackle real-world scenarios in Qwiklabs that will challenge you to use multiple skills at once.",/learn/automating-real-world-tasks-python?specialization=google-it-automation,Google IT Automation with Python Professional Certificate
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.7,"18,195","If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning. ",/learn/introduction-tensorflow?specialization=tensorflow-in-practice,DeepLearning.AI TensorFlow Developer Professional Certificate
Convolutional Neural Networks in TensorFlow,4.7,"7,664","If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.",/learn/convolutional-neural-networks-tensorflow?specialization=tensorflow-in-practice,DeepLearning.AI TensorFlow Developer Professional Certificate
Natural Language Processing in TensorFlow,4.6,"6,126","If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This Specialization will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.",/learn/natural-language-processing-tensorflow?specialization=tensorflow-in-practice,DeepLearning.AI TensorFlow Developer Professional Certificate
"Sequences, Time Series and Prediction",4.7,"4,698","If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This Specialization will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.",/learn/tensorflow-sequences-time-series-and-prediction?specialization=tensorflow-in-practice,DeepLearning.AI TensorFlow Developer Professional Certificate
